match_id,player,format,year,runs,balls_faced,fours,sixes,strike_rate,dismissed
1219,Pat Cummins,IPL,2017,34.0,46,4,1,73.91,1
260,Babar Azam,IPL,2022,18.0,20,2,0,90.0,1
1260,Jos Buttler,IPL,2008,55.0,67,4,4,82.09,1
1542,Shikhar Dhawan,IPL,2018,40.0,53,2,1,75.47,1
1083,Kane Williamson,Test,2015,149.0,161,16,7,92.55,1
1785,Kumar Sangakkara,ODI_WC,2022,5.0,6,0,0,83.33,1
52,Chris Gayle,ODI_WC,2023,2.0,2,0,0,100.0,1
787,Kane Williamson,T20_WC,2017,11.0,12,1,0,91.67,1
122,Joe Root,Test,2023,0.0,1,0,0,0.0,1
1562,KL Rahul,IPL,2009,94.0,75,5,7,125.33,1
1840,Jos Buttler,IPL,2012,12.0,13,0,0,92.31,1
1241,Ricky Ponting,ODI_WC,2013,28.0,38,3,0,73.68,1
695,David Warner,IPL,2017,13.0,16,1,0,81.25,0
89,Ben Stokes,IPL,2008,9.0,11,1,0,81.82,1
1467,Kumar Sangakkara,IPL,2009,5.0,5,0,0,100.0,1
970,Jos Buttler,T20_WC,2021,13.0,12,0,0,108.33,1
38,Chris Gayle,T20_WC,2017,33.0,27,2,1,122.22,1
84,Brian Lara,IPL,2022,124.0,106,17,7,116.98,1
1925,Shikhar Dhawan,ODI_WC,2011,28.0,19,2,2,147.37,1
1962,Chris Gayle,ODI_WC,2009,26.0,30,3,1,86.67,1
1132,Virat Kohli,Test,2018,1.0,1,0,0,100.0,1
1010,Rohit Sharma,T20_WC,2013,64.0,56,3,4,114.29,1
1699,Chris Gayle,ODI_WC,2023,1.0,1,0,0,100.0,1
709,Ben Stokes,ODI_WC,2021,82.0,76,10,1,107.89,1
1789,Ricky Ponting,IPL,2011,27.0,24,4,1,112.5,1
739,Virat Kohli,IPL,2018,6.0,6,0,0,100.0,1
1027,KL Rahul,T20_WC,2010,21.0,18,2,1,116.67,1
1833,Joe Root,IPL,2013,185.0,173,20,12,106.94,1
672,MS Dhoni,IPL,2016,12.0,16,1,0,75.0,1
1316,Babar Azam,T20_WC,2015,10.0,9,0,0,111.11,1
30,AB de Villiers,IPL,2009,4.0,4,0,0,100.0,1
628,Suresh Raina,IPL,2010,31.0,35,3,0,88.57,1
1905,Babar Azam,T20_WC,2009,3.0,2,0,0,150.0,1
1191,MS Dhoni,ODI_WC,2023,50.0,63,6,0,79.37,1
93,Brian Lara,ODI_WC,2017,88.0,98,5,6,89.8,1
218,Kane Williamson,T20_WC,2023,94.0,66,6,2,142.42,1
1645,Steve Smith,T20_WC,2014,3.0,2,0,0,150.0,1
1113,Kumar Sangakkara,IPL,2016,28.0,34,2,0,82.35,1
1212,Brian Lara,IPL,2008,3.0,3,0,0,100.0,1
1720,Joe Root,IPL,2018,29.0,28,3,0,103.57,1
972,Brian Lara,ODI_WC,2010,59.0,47,5,0,125.53,1
1746,Ricky Ponting,T20_WC,2013,27.0,21,1,1,128.57,1
886,Rohit Sharma,ODI_WC,2022,71.0,89,10,5,79.78,0
698,Pat Cummins,ODI_WC,2022,56.0,71,5,0,78.87,1
282,AB de Villiers,IPL,2011,11.0,12,1,0,91.67,1
975,Chris Gayle,T20_WC,2017,34.0,30,1,2,113.33,1
389,Steve Smith,IPL,2023,0.0,1,0,0,0.0,1
1720,Ricky Ponting,IPL,2021,17.0,19,1,0,89.47,0
929,Kumar Sangakkara,T20_WC,2017,9.0,11,1,0,81.82,1
873,Jos Buttler,Test,2008,96.0,67,11,1,143.28,0
137,Pat Cummins,ODI_WC,2016,18.0,18,2,0,100.0,1
288,Babar Azam,Test,2014,37.0,48,3,0,77.08,1
1357,Brian Lara,IPL,2021,46.0,43,2,1,106.98,1
619,MS Dhoni,IPL,2018,51.0,61,6,2,83.61,1
412,Babar Azam,IPL,2019,46.0,53,3,2,86.79,1
407,Kane Williamson,IPL,2014,11.0,8,0,0,137.5,0
600,Steve Smith,IPL,2019,40.0,49,3,1,81.63,1
1149,Kumar Sangakkara,T20_WC,2008,27.0,21,1,0,128.57,1
1221,Chris Gayle,T20_WC,2016,31.0,37,2,0,83.78,1
622,Steve Smith,Test,2019,0.0,1,0,0,0.0,1
1531,Suresh Raina,Test,2019,10.0,13,0,0,76.92,1
1854,Joe Root,IPL,2015,93.0,117,8,6,79.49,1
1072,Sachin Tendulkar,Test,2018,11.0,11,0,0,100.0,1
1346,Joe Root,T20_WC,2019,20.0,23,2,1,86.96,0
1214,MS Dhoni,T20_WC,2017,7.0,8,0,0,87.5,1
1647,Kumar Sangakkara,ODI_WC,2019,5.0,3,0,0,166.67,1
1758,Ben Stokes,IPL,2012,8.0,6,1,0,133.33,1
1521,Steve Smith,Test,2011,28.0,31,4,0,90.32,1
69,AB de Villiers,ODI_WC,2008,87.0,61,10,1,142.62,1
696,Ricky Ponting,Test,2016,13.0,17,1,0,76.47,1
1354,Kane Williamson,Test,2022,13.0,13,1,0,100.0,1
495,Brian Lara,T20_WC,2015,29.0,25,3,1,116.0,1
884,Virat Kohli,IPL,2020,15.0,14,1,0,107.14,0
1700,Brian Lara,IPL,2009,84.0,108,6,0,77.78,1
292,Rohit Sharma,IPL,2011,16.0,21,1,1,76.19,1
1976,Rohit Sharma,IPL,2011,23.0,17,2,0,135.29,1
1021,Kane Williamson,ODI_WC,2020,26.0,32,1,0,81.25,1
1543,Shikhar Dhawan,IPL,2014,53.0,58,3,3,91.38,1
733,KL Rahul,Test,2010,29.0,32,3,0,90.62,1
416,David Warner,ODI_WC,2023,9.0,11,1,0,81.82,1
1243,Ben Stokes,IPL,2015,4.0,3,0,0,133.33,1
897,Joe Root,T20_WC,2018,97.0,103,9,1,94.17,1
1594,Chris Gayle,T20_WC,2014,56.0,51,3,1,109.8,1
1526,Ricky Ponting,T20_WC,2017,0.0,1,0,0,0.0,1
1300,Kane Williamson,T20_WC,2019,60.0,46,8,2,130.43,1
418,David Warner,IPL,2019,31.0,24,4,0,129.17,1
563,Shikhar Dhawan,ODI_WC,2011,25.0,28,2,0,89.29,1
1444,Ben Stokes,T20_WC,2022,0.0,1,0,0,0.0,1
1946,Shikhar Dhawan,ODI_WC,2016,53.0,58,7,1,91.38,1
727,Shikhar Dhawan,ODI_WC,2013,7.0,7,0,0,100.0,1
1185,Babar Azam,IPL,2010,45.0,59,4,1,76.27,1
1,Jos Buttler,IPL,2014,0.0,1,0,0,0.0,0
1091,Kumar Sangakkara,ODI_WC,2013,55.0,76,5,1,72.37,1
1586,Joe Root,Test,2015,0.0,1,0,0,0.0,1
1571,Brian Lara,IPL,2012,9.0,10,0,0,90.0,1
163,AB de Villiers,IPL,2013,10.0,7,1,0,142.86,0
315,Joe Root,IPL,2008,,6,0,0,83.33,1
333,MS Dhoni,IPL,2015,22.0,21,2,1,104.76,0
1633,Brian Lara,IPL,2008,11.0,12,0,0,91.67,1
525,Sachin Tendulkar,IPL,2023,175.0,160,10,3,109.38,1
1302,Babar Azam,ODI_WC,2010,30.0,24,3,1,125.0,1
56,David Warner,IPL,2019,29.0,34,3,0,85.29,1
389,AB de Villiers,IPL,2009,8.0,10,1,0,80.0,1
593,Rohit Sharma,IPL,2013,18.0,14,2,0,128.57,1
939,Jos Buttler,Test,2015,4.0,5,0,0,80.0,1
1738,KL Rahul,T20_WC,2015,50.0,39,3,2,128.21,1
1275,Steve Smith,Test,2014,14.0,17,1,0,82.35,1
951,Chris Gayle,T20_WC,2014,48.0,65,2,1,73.85,0
731,AB de Villiers,IPL,2015,16.0,12,1,0,133.33,1
527,David Warner,IPL,2012,157.0,157,16,1,100.0,1
1645,Rohit Sharma,ODI_WC,2010,6.0,5,0,0,120.0,1
1322,Rohit Sharma,T20_WC,2009,0.0,1,0,0,0.0,1
1417,Brian Lara,T20_WC,2010,31.0,38,4,1,81.58,1
124,Suresh Raina,ODI_WC,2018,106.0,123,14,6,86.18,1
1095,Steve Smith,ODI_WC,2018,36.0,49,4,1,73.47,1
1721,Chris Gayle,IPL,2010,3.0,2,0,0,150.0,1
394,Kumar Sangakkara,ODI_WC,2019,27.0,29,1,1,93.1,0
704,Suresh Raina,T20_WC,2014,84.0,85,12,0,98.82,0
1449,Ricky Ponting,IPL,2008,0.0,1,0,0,0.0,1
909,MS Dhoni,T20_WC,2022,6.0,4,0,0,150.0,1
912,AB de Villiers,T20_WC,2014,58.0,80,4,3,72.5,1
994,Ricky Ponting,IPL,2013,78.0,80,7,3,97.5,1
328,Joe Root,IPL,2018,42.0,47,3,2,89.36,1
1084,MS Dhoni,IPL,2017,167.0,158,23,5,105.7,1
1567,Steve Smith,IPL,2021,3.0,3,0,0,100.0,1
567,Kane Williamson,IPL,2023,27.0,29,2,0,93.1,1
988,KL Rahul,IPL,2009,40.0,46,2,2,86.96,1
455,Babar Azam,IPL,2017,42.0,48,4,0,87.5,0
674,Pat Cummins,IPL,2008,55.0,52,4,3,105.77,1
737,Shikhar Dhawan,Test,2016,87.0,65,12,2,133.85,1
1156,Chris Gayle,IPL,2009,15.0,18,0,0,83.33,1
1975,Virat Kohli,IPL,2011,1.0,1,0,0,100.0,0
102,Sachin Tendulkar,IPL,2016,15.0,19,1,1,78.95,1
1882,MS Dhoni,ODI_WC,2016,38.0,42,4,2,90.48,1
1986,Ricky Ponting,IPL,2019,8.0,7,0,0,114.29,0
1760,Jos Buttler,IPL,2018,58.0,64,4,1,90.62,1
1255,Jos Buttler,IPL,2008,8.0,9,0,0,88.89,1
1898,MS Dhoni,Test,2021,0.0,1,0,0,0.0,1
571,David Warner,T20_WC,2009,24.0,30,1,0,80.0,1
809,Chris Gayle,IPL,2009,45.0,36,6,1,125.0,1
1986,Ben Stokes,IPL,2019,15.0,20,0,0,75.0,1
1242,Sachin Tendulkar,IPL,2009,48.0,47,4,1,102.13,1
943,Kumar Sangakkara,IPL,2022,20.0,26,2,0,76.92,0
1307,Shikhar Dhawan,ODI_WC,2015,6.0,5,0,0,120.0,1
1615,Babar Azam,T20_WC,2020,3.0,2,0,0,150.0,1
1685,MS Dhoni,T20_WC,2015,43.0,47,5,1,91.49,1
368,Joe Root,IPL,2017,17.0,15,0,0,113.33,1
91,AB de Villiers,T20_WC,2019,85.0,118,11,6,72.03,1
1762,Sachin Tendulkar,IPL,2015,27.0,20,2,0,135.0,1
1393,David Warner,IPL,2019,14.0,10,1,0,140.0,1
139,Ricky Ponting,ODI_WC,2011,15.0,10,2,0,150.0,1
1367,Kumar Sangakkara,IPL,2022,4.0,3,0,0,133.33,0
114,Chris Gayle,T20_WC,2015,31.0,34,2,0,91.18,1
22,David Warner,Test,2021,30.0,31,2,1,96.77,0
1047,Chris Gayle,IPL,2020,56.0,52,4,4,107.69,1
1089,Ben Stokes,Test,2014,7.0,5,0,0,140.0,0
1595,Sachin Tendulkar,IPL,2015,12.0,10,1,0,120.0,1
460,AB de Villiers,IPL,2008,3.0,2,0,0,150.0,0
1625,Chris Gayle,T20_WC,2010,12.0,14,0,0,85.71,1
1734,KL Rahul,T20_WC,2017,19.0,23,2,1,82.61,1
114,Rohit Sharma,IPL,2013,116.0,144,10,4,80.56,1
1905,Rohit Sharma,ODI_WC,2008,37.0,50,2,0,74.0,1
1521,Pat Cummins,Test,2011,53.0,69,3,3,76.81,1
1506,Shikhar Dhawan,IPL,2016,13.0,13,1,0,100.0,1
540,Brian Lara,Test,2014,5.0,4,0,0,125.0,1
921,Kumar Sangakkara,T20_WC,2008,10.0,13,1,0,76.92,1
1746,AB de Villiers,Test,2020,10.0,11,0,0,90.91,0
1263,Sachin Tendulkar,IPL,2019,30.0,27,4,0,111.11,1
257,Steve Smith,ODI_WC,2013,14.0,15,1,0,93.33,1
1952,Ricky Ponting,IPL,2023,68.0,94,9,5,72.34,1
1309,Brian Lara,Test,2013,156.0,201,11,10,77.61,1
1428,Kane Williamson,ODI_WC,2019,14.0,12,1,0,116.67,0
1070,Rohit Sharma,IPL,2009,42.0,57,3,2,73.68,1
1869,Ben Stokes,IPL,2023,37.0,51,2,1,72.55,1
1721,Virat Kohli,ODI_WC,2013,7.0,6,1,0,116.67,1
652,AB de Villiers,T20_WC,2021,87.0,115,6,3,75.65,1
456,KL Rahul,IPL,2017,7.0,9,1,0,77.78,1
679,Jos Buttler,IPL,2009,46.0,33,2,1,139.39,1
392,Joe Root,ODI_WC,2015,14.0,16,0,0,87.5,1
466,Virat Kohli,IPL,2014,16.0,14,2,0,114.29,1
1237,Kumar Sangakkara,IPL,2021,21.0,24,2,0,87.5,1
412,Brian Lara,Test,2013,69.0,92,6,4,75.0,1
1183,Shikhar Dhawan,IPL,2021,5.0,5,0,0,100.0,1
911,Brian Lara,IPL,2017,1.0,1,0,0,100.0,0
1980,Babar Azam,IPL,2013,17.0,22,1,0,77.27,0
551,Kumar Sangakkara,Test,2016,2.0,2,0,0,100.0,1
993,MS Dhoni,IPL,2016,40.0,29,4,2,137.93,0
1638,Joe Root,T20_WC,2017,49.0,65,5,1,75.38,1
1495,Ricky Ponting,Test,2017,67.0,50,9,2,134.0,1
1872,Ricky Ponting,IPL,2009,47.0,43,5,2,109.3,1
472,Brian Lara,ODI_WC,2010,86.0,106,7,4,81.13,1
1941,Pat Cummins,IPL,2023,48.0,59,3,1,81.36,1
1134,Virat Kohli,ODI_WC,2017,96.0,115,9,7,83.48,1
776,Virat Kohli,IPL,2014,7.0,5,0,0,140.0,1
810,AB de Villiers,ODI_WC,2018,24.0,19,2,0,126.32,1
443,Suresh Raina,IPL,2017,178.0,241,23,9,73.86,1
465,AB de Villiers,IPL,2019,40.0,30,5,1,133.33,1
1359,Kane Williamson,Test,2020,73.0,55,8,5,132.73,0
846,Suresh Raina,IPL,2021,1.0,1,0,0,100.0,1
916,Kane Williamson,ODI_WC,2021,71.0,81,6,1,87.65,1
608,Sachin Tendulkar,IPL,2016,41.0,38,4,0,107.89,1
1597,Virat Kohli,IPL,2019,6.0,4,0,0,150.0,1
1675,Babar Azam,ODI_WC,2020,0.0,1,0,0,0.0,1
742,Virat Kohli,IPL,2021,,13,0,0,76.92,1
544,Steve Smith,Test,2013,86.0,63,10,3,136.51,1
900,Pat Cummins,T20_WC,2018,38.0,41,4,1,92.68,0
925,Suresh Raina,IPL,2008,88.0,77,5,2,114.29,1
645,Ricky Ponting,ODI_WC,2018,20.0,25,1,1,80.0,1
1259,Babar Azam,IPL,2022,96.0,90,12,1,106.67,1
844,Brian Lara,IPL,2014,21.0,25,2,0,84.0,1
1771,Kumar Sangakkara,ODI_WC,2018,7.0,7,0,0,100.0,0
1778,Babar Azam,IPL,2008,5.0,5,0,0,100.0,0
1831,David Warner,IPL,2012,177.0,230,9,5,76.96,1
1785,Pat Cummins,ODI_WC,2016,14.0,14,0,0,100.0,1
23,Shikhar Dhawan,ODI_WC,2017,6.0,7,0,0,85.71,1
737,Brian Lara,T20_WC,2023,0.0,1,0,0,0.0,1
144,Ricky Ponting,T20_WC,2018,11.0,9,1,0,122.22,1
306,Steve Smith,ODI_WC,2017,76.0,77,9,3,98.7,1
492,Jos Buttler,T20_WC,2016,26.0,27,3,0,96.3,1
1419,AB de Villiers,IPL,2008,35.0,36,2,1,97.22,1
584,MS Dhoni,Test,2013,89.0,112,5,4,79.46,1
1249,Joe Root,IPL,2022,25.0,27,1,0,92.59,1
1072,Virat Kohli,T20_WC,2020,63.0,83,6,1,75.9,1
546,Suresh Raina,Test,2010,13.0,13,0,0,100.0,1
405,Joe Root,ODI_WC,2022,132.0,113,15,10,116.81,1
766,Kane Williamson,Test,2019,2.0,1,0,0,200.0,1
1599,KL Rahul,IPL,2016,45.0,58,2,0,77.59,1
1126,Jos Buttler,IPL,2021,37.0,27,3,1,137.04,1
1553,AB de Villiers,Test,2019,7.0,5,0,0,140.0,1
241,AB de Villiers,IPL,2010,17.0,12,2,0,141.67,1
1314,AB de Villiers,ODI_WC,2009,13.0,12,1,0,108.33,0
1280,Shikhar Dhawan,IPL,2023,3.0,3,0,0,100.0,1
1971,Kane Williamson,ODI_WC,2015,30.0,21,3,0,142.86,1
361,Suresh Raina,T20_WC,2023,177.0,187,18,13,94.65,1
67,Kane Williamson,IPL,2010,28.0,27,2,0,103.7,1
280,MS Dhoni,T20_WC,2022,27.0,33,1,0,81.82,1
1430,Shikhar Dhawan,ODI_WC,2012,1.0,1,0,0,100.0,1
778,Joe Root,IPL,2019,5.0,5,0,0,100.0,1
1029,Ricky Ponting,T20_WC,2013,25.0,25,1,1,100.0,1
543,Sachin Tendulkar,T20_WC,2022,147.0,125,8,4,117.6,1
1176,Babar Azam,IPL,2019,73.0,94,7,4,77.66,0
1291,Chris Gayle,ODI_WC,2017,14.0,13,1,0,107.69,1
563,Ricky Ponting,IPL,2022,27.0,25,3,0,108.0,0
1783,Kane Williamson,IPL,2021,28.0,37,3,1,75.68,1
48,MS Dhoni,T20_WC,2017,40.0,55,5,1,72.73,1
334,Shikhar Dhawan,ODI_WC,2008,40.0,53,5,2,75.47,1
1668,Chris Gayle,Test,2014,54.0,75,4,0,72.0,1
136,Babar Azam,IPL,2018,0.0,1,0,0,0.0,1
519,Pat Cummins,IPL,2014,100.0,119,9,7,84.03,1
1507,MS Dhoni,IPL,2022,2.0,1,0,0,200.0,0
119,Kane Williamson,ODI_WC,2012,22.0,30,2,0,73.33,1
1312,Suresh Raina,IPL,2016,88.0,115,10,4,76.52,1
342,Kane Williamson,ODI_WC,2023,23.0,19,1,0,121.05,1
1302,Chris Gayle,IPL,2018,2.0,2,0,0,100.0,1
1518,Steve Smith,ODI_WC,2009,9.0,6,0,0,150.0,1
1003,Chris Gayle,T20_WC,2012,30.0,41,1,1,73.17,1
1754,Babar Azam,Test,2009,3.0,3,0,0,100.0,0
627,Chris Gayle,IPL,2021,19.0,16,2,0,118.75,1
164,Kane Williamson,T20_WC,2009,13.0,11,0,0,118.18,1
285,Shikhar Dhawan,ODI_WC,2023,59.0,81,5,3,72.84,1
964,AB de Villiers,T20_WC,2019,4.0,4,0,0,100.0,1
1247,Babar Azam,IPL,2018,40.0,39,2,1,102.56,1
1622,Sachin Tendulkar,Test,2016,18.0,18,2,1,100.0,1
1725,Ben Stokes,IPL,2014,31.0,23,2,1,134.78,1
377,Suresh Raina,IPL,2011,8.0,6,1,0,133.33,1
53,MS Dhoni,T20_WC,2023,32.0,35,2,1,91.43,0
328,AB de Villiers,T20_WC,2021,39.0,41,3,0,95.12,1
341,Virat Kohli,ODI_WC,2018,2.0,1,0,0,200.0,1
527,Virat Kohli,IPL,2021,60.0,65,7,3,92.31,1
639,KL Rahul,IPL,2015,69.0,51,8,3,135.29,0
1712,Brian Lara,T20_WC,2018,2.0,2,0,0,100.0,1
1142,AB de Villiers,IPL,2018,32.0,28,1,0,114.29,1
1206,Steve Smith,Test,2020,31.0,23,3,0,134.78,1
1604,Shikhar Dhawan,Test,2011,0.0,1,0,0,0.0,1
1514,David Warner,T20_WC,2023,14.0,10,1,0,140.0,1
506,Pat Cummins,IPL,2008,121.0,99,10,5,122.22,1
1349,Babar Azam,Test,2019,28.0,27,2,1,103.7,0
868,Kane Williamson,IPL,2021,94.0,114,9,2,82.46,1
704,Sachin Tendulkar,IPL,2017,39.0,34,5,3,114.71,1
1218,Ricky Ponting,IPL,2021,1.0,1,0,0,100.0,1
178,Chris Gayle,IPL,2010,2.0,2,0,0,100.0,1
968,Ricky Ponting,ODI_WC,2017,44.0,39,4,1,112.82,1
559,David Warner,T20_WC,2019,28.0,35,3,0,80.0,1
1988,Virat Kohli,Test,2008,4.0,3,0,0,133.33,1
909,Pat Cummins,IPL,2009,33.0,27,4,0,122.22,1
654,Babar Azam,T20_WC,2009,58.0,59,3,0,98.31,1
9,AB de Villiers,Test,2014,48.0,41,6,0,117.07,1
1436,Rohit Sharma,ODI_WC,2023,9.0,11,0,0,81.82,1
934,David Warner,ODI_WC,2020,10.0,7,0,0,142.86,0
524,Rohit Sharma,IPL,2011,120.0,134,7,6,89.55,0
1628,MS Dhoni,ODI_WC,2017,76.0,85,9,2,89.41,1
1037,Steve Smith,IPL,2019,13.0,9,0,0,144.44,1
277,Pat Cummins,T20_WC,2016,60.0,72,4,4,83.33,0
439,Kumar Sangakkara,T20_WC,2009,6.0,6,0,0,100.0,1
1062,Babar Azam,T20_WC,2023,7.0,8,0,0,87.5,1
820,Babar Azam,ODI_WC,2016,6.0,7,0,0,85.71,1
1818,Ben Stokes,ODI_WC,2013,3.0,2,0,0,150.0,1
1814,Chris Gayle,IPL,2017,67.0,69,4,1,97.1,1
435,David Warner,T20_WC,2015,30.0,26,2,2,115.38,1
1780,Joe Root,ODI_WC,2014,10.0,8,0,0,125.0,0
1268,Virat Kohli,IPL,2018,66.0,46,6,1,143.48,1
840,Kumar Sangakkara,IPL,2020,56.0,76,4,2,73.68,1
1573,Sachin Tendulkar,IPL,2015,3.0,3,0,0,100.0,1
744,Ricky Ponting,IPL,2020,36.0,25,3,2,144.0,1
1197,Chris Gayle,Test,2023,44.0,31,5,0,141.94,1
251,Kumar Sangakkara,IPL,2020,44.0,39,2,1,112.82,1
632,KL Rahul,T20_WC,2016,44.0,31,6,2,141.94,1
1366,Jos Buttler,ODI_WC,2019,6.0,5,0,0,120.0,1
845,Kumar Sangakkara,IPL,2022,13.0,9,1,0,144.44,1
1957,Virat Kohli,Test,2020,65.0,47,5,5,138.3,1
14,Chris Gayle,IPL,2023,80.0,93,6,5,86.02,1
274,Brian Lara,Test,2023,11.0,14,1,0,78.57,1
1007,Steve Smith,IPL,2015,0.0,1,0,0,0.0,1
353,Shikhar Dhawan,IPL,2013,68.0,87,6,0,78.16,1
1159,Kane Williamson,IPL,2015,16.0,11,1,0,145.45,1
970,Joe Root,IPL,2015,13.0,16,0,0,81.25,1
1724,Virat Kohli,ODI_WC,2009,14.0,10,1,0,140.0,0
442,Pat Cummins,IPL,2009,18.0,23,2,0,78.26,1
1403,Shikhar Dhawan,T20_WC,2018,16.0,21,1,0,76.19,1
567,AB de Villiers,IPL,2023,29.0,36,3,0,80.56,1
802,Shikhar Dhawan,ODI_WC,2008,2.0,2,0,0,100.0,1
127,Virat Kohli,ODI_WC,2017,124.0,135,15,5,91.85,1
1325,Virat Kohli,T20_WC,2009,96.0,85,9,6,112.94,1
1795,MS Dhoni,IPL,2014,95.0,109,9,5,87.16,1
1019,Shikhar Dhawan,T20_WC,2018,73.0,73,4,5,100.0,0
1960,Suresh Raina,IPL,2010,37.0,26,5,2,142.31,0
1868,Suresh Raina,IPL,2011,8.0,8,1,0,100.0,1
1636,Babar Azam,T20_WC,2011,1.0,1,0,0,100.0,1
821,Joe Root,Test,2011,3.0,2,0,0,150.0,1
1183,Virat Kohli,Test,2009,13.0,14,1,0,92.86,1
1559,David Warner,T20_WC,2018,24.0,27,2,0,88.89,1
1224,Chris Gayle,T20_WC,2013,174.0,141,23,10,123.4,1
1089,AB de Villiers,Test,2008,20.0,20,2,0,100.0,0
695,David Warner,T20_WC,2019,26.0,35,1,0,74.29,1
739,MS Dhoni,IPL,2021,,54,4,1,75.93,1
623,Kumar Sangakkara,Test,2012,6.0,5,0,0,120.0,1
79,KL Rahul,IPL,2009,94.0,88,6,1,106.82,1
1781,AB de Villiers,IPL,2016,26.0,20,2,0,130.0,1
1116,Pat Cummins,T20_WC,2009,11.0,7,0,0,157.14,1
140,Virat Kohli,IPL,2013,95.0,86,11,4,110.47,1
1025,AB de Villiers,IPL,2011,34.0,46,4,0,73.91,1
267,MS Dhoni,IPL,2021,23.0,31,3,1,74.19,1
1075,Jos Buttler,T20_WC,2013,30.0,38,3,2,78.95,1
229,Virat Kohli,Test,2022,48.0,45,4,1,106.67,0
1393,AB de Villiers,IPL,2009,5.0,4,0,0,125.0,0
450,Ben Stokes,IPL,2019,70.0,78,9,1,89.74,0
