match_id,format,year,team1,team2,winner,venue,toss_winner,toss_decision,toss_won_match,match_type
43,IPL,2022,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,1,knockout
44,Test,2023,India,Sri Lanka,Sri Lanka,Lords,Sri Lanka,field,1,league
45,IPL,2014,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,SCG,Delhi Capitals,bat,1,league
46,ODI_WC,2012,Bangladesh,India,Bangladesh,Narendra Modi Stadium,India,field,0,league
47,IPL,2017,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,Rajasthan Royals,field,1,league
48,T20_WC,2017,Bangladesh,Sri Lanka,Bangladesh,Eden Gardens,Bangladesh,field,1,league
49,T20_WC,2019,Australia,Bangladesh,Bangladesh,M. Chinnaswamy Stadium,Bangladesh,field,1,knockout
50,IPL,2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,1,league
51,Test,2023,Afghanistan,Pakistan,Afghanistan,MA Chidambaram Stadium,Pakistan,field,0,league
52,ODI_WC,2021,Australia,West Indies,West Indies,Narendra Modi Stadium,Australia,bat,0,league
53,Test,2016,South Africa,Pakistan,South Africa,Eden Gardens,South Africa,bat,1,league
54,Test,2012,South Africa,Bangladesh,South Africa,Feroz Shah Kotla,Bangladesh,bat,0,league
55,T20_WC,2017,Afghanistan,New Zealand,New Zealand,SCG,Afghanistan,field,0,knockout
56,Test,2012,South Africa,Afghanistan,Afghanistan,Newlands,South Africa,field,0,knockout
57,IPL,2009,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Newlands,Delhi Capitals,field,0,league
58,IPL,2012,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Narendra Modi Stadium,Punjab Kings,bat,0,league
59,IPL,2010,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Newlands,Mumbai Indians,bat,0,league
60,IPL,2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Dubai International,Rajasthan Royals,bat,1,league
61,IPL,2017,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MCG,Kolkata Knight Riders,field,0,league
62,IPL,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,SCG,Chennai Super Kings,field,0,league
63,ODI_WC,2015,India,New Zealand,India,Narendra Modi Stadium,New Zealand,bat,0,league
64,IPL,2008,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Dubai International,Rajasthan Royals,bat,1,league
65,IPL,2010,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,Mumbai Indians,field,0,knockout
66,T20_WC,2010,Afghanistan,India,India,Feroz Shah Kotla,India,bat,1,league
67,IPL,2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,SCG,Sunrisers Hyderabad,field,1,league
68,ODI_WC,2012,Pakistan,England,England,Wankhede Stadium,Pakistan,field,0,league
69,IPL,2023,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,SuperSport Park,Royal Challengers Bangalore,field,1,knockout
70,Test,2019,Afghanistan,South Africa,Afghanistan,Newlands,South Africa,bat,0,league
71,ODI_WC,2016,Sri Lanka,Australia,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,1,league
72,IPL,2020,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Gaddafi Stadium,Punjab Kings,bat,0,knockout
73,IPL,2016,Mumbai Indians,Punjab Kings,Punjab Kings,Newlands,Punjab Kings,field,1,league
74,ODI_WC,2008,India,West Indies,West Indies,MA Chidambaram Stadium,India,field,0,league
75,ODI_WC,2009,Afghanistan,West Indies,Afghanistan,SCG,Afghanistan,field,1,league
76,ODI_WC,2012,Sri Lanka,England,Sri Lanka,MCG,Sri Lanka,bat,1,knockout
77,ODI_WC,2011,West Indies,Pakistan,West Indies,Dubai International,West Indies,field,1,knockout
78,IPL,2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Eden Gardens,Kolkata Knight Riders,field,0,league
79,IPL,2017,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Narendra Modi Stadium,Mumbai Indians,field,0,league
80,IPL,2016,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Gaddafi Stadium,Royal Challengers Bangalore,field,0,knockout
81,Test,2014,Afghanistan,New Zealand,New Zealand,Gaddafi Stadium,New Zealand,field,1,knockout
82,T20_WC,2013,Bangladesh,Afghanistan,Afghanistan,MA Chidambaram Stadium,Afghanistan,field,1,league
83,IPL,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,1,knockout
84,IPL,2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Headingley,Kolkata Knight Riders,field,0,league
85,IPL,2008,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,SCG,Punjab Kings,field,1,league
86,IPL,2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Newlands,Sunrisers Hyderabad,field,1,league
87,ODI_WC,2020,South Africa,Sri Lanka,Sri Lanka,MCG,South Africa,field,0,league
88,T20_WC,2020,South Africa,Afghanistan,South Africa,Eden Gardens,South Africa,bat,1,league
89,Test,2009,Afghanistan,South Africa,South Africa,Headingley,Afghanistan,bat,0,knockout
90,T20_WC,2019,Sri Lanka,New Zealand,New Zealand,Dubai International,New Zealand,field,1,league
91,IPL,2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,field,1,league
92,ODI_WC,2018,Sri Lanka,England,England,Newlands,England,field,1,league
93,ODI_WC,2016,Pakistan,England,Pakistan,Headingley,Pakistan,bat,1,league
94,T20_WC,2014,India,Bangladesh,India,Headingley,India,bat,1,league
95,ODI_WC,2013,Pakistan,New Zealand,Pakistan,MCG,New Zealand,field,0,knockout
96,T20_WC,2008,Pakistan,New Zealand,New Zealand,SCG,Pakistan,bat,0,league
97,T20_WC,2008,Bangladesh,England,Bangladesh,Wankhede Stadium,Bangladesh,field,1,league
98,IPL,2009,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,MCG,Delhi Capitals,bat,1,league
99,IPL,2013,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,SuperSport Park,Royal Challengers Bangalore,bat,1,knockout
100,IPL,2021,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,MCG,Kolkata Knight Riders,bat,1,knockout
101,IPL,2013,Punjab Kings,Mumbai Indians,Punjab Kings,MA Chidambaram Stadium,Mumbai Indians,bat,0,knockout
102,T20_WC,2009,Bangladesh,Sri Lanka,Sri Lanka,Gaddafi Stadium,Bangladesh,bat,0,league
103,IPL,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,SCG,Mumbai Indians,field,1,league
104,T20_WC,2017,Pakistan,Sri Lanka,Pakistan,Newlands,Pakistan,field,1,league
105,Test,2012,Afghanistan,Sri Lanka,Afghanistan,Feroz Shah Kotla,Sri Lanka,field,0,league
106,IPL,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Dubai International,Chennai Super Kings,field,1,knockout
107,IPL,2009,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Dubai International,Rajasthan Royals,field,0,league
108,ODI_WC,2013,Pakistan,England,Pakistan,SCG,Pakistan,field,1,league
109,IPL,2023,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,0,league
110,IPL,2016,Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi Capitals,bat,1,league
111,IPL,2009,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,field,0,league
112,IPL,2017,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,SuperSport Park,Rajasthan Royals,bat,0,league
113,Test,2009,England,Afghanistan,Afghanistan,Newlands,England,field,0,knockout
114,ODI_WC,2023,England,Pakistan,Pakistan,Headingley,Pakistan,bat,1,league
115,T20_WC,2023,England,Sri Lanka,Sri Lanka,Wankhede Stadium,England,bat,0,knockout
116,Test,2010,New Zealand,India,India,SCG,New Zealand,bat,0,league
117,ODI_WC,2020,West Indies,India,West Indies,Dubai International,West Indies,bat,1,knockout
118,IPL,2014,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Narendra Modi Stadium,Royal Challengers Bangalore,bat,0,league
119,Test,2013,Bangladesh,England,England,Newlands,England,bat,1,league
120,T20_WC,2019,Australia,England,Australia,M. Chinnaswamy Stadium,Australia,field,1,league
121,ODI_WC,2015,New Zealand,Australia,New Zealand,Eden Gardens,Australia,bat,0,league
122,Test,2022,West Indies,India,West Indies,Feroz Shah Kotla,India,bat,0,knockout
123,IPL,2015,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Lords,Delhi Capitals,field,1,league
124,IPL,2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,SCG,Royal Challengers Bangalore,bat,0,league
125,IPL,2019,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,SCG,Royal Challengers Bangalore,bat,1,league
126,IPL,2018,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Headingley,Chennai Super Kings,field,1,league
127,ODI_WC,2017,New Zealand,West Indies,West Indies,Dubai International,New Zealand,bat,0,league
128,Test,2010,Bangladesh,West Indies,Bangladesh,SCG,West Indies,field,0,league
129,IPL,2023,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Gaddafi Stadium,Mumbai Indians,field,1,knockout
130,T20_WC,2010,West Indies,Afghanistan,West Indies,SuperSport Park,Afghanistan,field,0,knockout
131,IPL,2022,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,SuperSport Park,Royal Challengers Bangalore,field,1,knockout
132,IPL,2008,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,1,league
133,IPL,2023,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Gaddafi Stadium,Royal Challengers Bangalore,bat,1,league
134,IPL,2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,SuperSport Park,Rajasthan Royals,field,0,league
135,Test,2014,England,India,India,SCG,India,field,1,league
136,IPL,2012,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Lords,Delhi Capitals,field,0,league
137,T20_WC,2011,Sri Lanka,West Indies,Sri Lanka,MCG,Sri Lanka,field,1,league
138,ODI_WC,2017,Australia,Afghanistan,Afghanistan,Gaddafi Stadium,Australia,bat,0,knockout
139,IPL,2022,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Headingley,Delhi Capitals,field,0,knockout
140,Test,2011,New Zealand,Bangladesh,New Zealand,Headingley,Bangladesh,field,0,league
141,Test,2021,New Zealand,Afghanistan,Afghanistan,MCG,Afghanistan,bat,1,league
142,IPL,2011,Chennai Super Kings,Punjab Kings,Punjab Kings,Feroz Shah Kotla,Punjab Kings,bat,1,league
143,T20_WC,2013,West Indies,South Africa,West Indies,Narendra Modi Stadium,West Indies,field,1,league
144,IPL,2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Narendra Modi Stadium,Sunrisers Hyderabad,field,1,league
145,IPL,2015,Punjab Kings,Rajasthan Royals,Punjab Kings,Gaddafi Stadium,Punjab Kings,bat,1,league
146,IPL,2015,Chennai Super Kings,Delhi Capitals,Delhi Capitals,MCG,Chennai Super Kings,bat,0,league
147,T20_WC,2012,New Zealand,West Indies,West Indies,Gaddafi Stadium,West Indies,bat,1,league
148,T20_WC,2022,Bangladesh,South Africa,Bangladesh,Headingley,Bangladesh,field,1,knockout
149,IPL,2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,1,knockout
150,IPL,2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,bat,1,knockout
151,Test,2019,Bangladesh,Sri Lanka,Bangladesh,Headingley,Bangladesh,bat,1,league
152,IPL,2021,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Newlands,Royal Challengers Bangalore,bat,0,league
153,IPL,2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,SCG,Chennai Super Kings,bat,1,knockout
154,T20_WC,2020,Afghanistan,West Indies,Afghanistan,SCG,Afghanistan,bat,1,league
155,Test,2016,New Zealand,Afghanistan,New Zealand,Wankhede Stadium,Afghanistan,bat,0,knockout
156,IPL,2015,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,MCG,Delhi Capitals,bat,0,league
157,ODI_WC,2017,India,Sri Lanka,Sri Lanka,SuperSport Park,Sri Lanka,bat,1,league
158,ODI_WC,2019,West Indies,Sri Lanka,Sri Lanka,Eden Gardens,Sri Lanka,bat,1,league
159,IPL,2017,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,SCG,Royal Challengers Bangalore,bat,1,league
160,ODI_WC,2008,England,India,England,Newlands,England,field,1,knockout
161,IPL,2022,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Gaddafi Stadium,Kolkata Knight Riders,field,1,league
162,T20_WC,2009,Afghanistan,Bangladesh,Afghanistan,Headingley,Bangladesh,field,0,knockout
163,T20_WC,2016,Bangladesh,Sri Lanka,Bangladesh,Wankhede Stadium,Bangladesh,field,1,knockout
164,T20_WC,2015,South Africa,Bangladesh,South Africa,Newlands,South Africa,field,1,knockout
165,IPL,2021,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Dubai International,Rajasthan Royals,bat,0,league
166,ODI_WC,2010,Pakistan,India,India,M. Chinnaswamy Stadium,Pakistan,bat,0,league
167,IPL,2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,MCG,Mumbai Indians,field,1,league
168,IPL,2019,Punjab Kings,Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,field,1,league
169,IPL,2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Feroz Shah Kotla,Royal Challengers Bangalore,field,0,knockout
170,T20_WC,2017,New Zealand,Sri Lanka,New Zealand,Lords,New Zealand,field,1,league
171,ODI_WC,2011,West Indies,Australia,Australia,Eden Gardens,West Indies,field,0,league
172,IPL,2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Gaddafi Stadium,Chennai Super Kings,field,0,league
173,T20_WC,2013,Sri Lanka,South Africa,South Africa,SuperSport Park,Sri Lanka,bat,0,league
174,IPL,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Gaddafi Stadium,Sunrisers Hyderabad,field,0,knockout
175,T20_WC,2011,Pakistan,Afghanistan,Afghanistan,MCG,Afghanistan,field,1,knockout
176,IPL,2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Dubai International,Kolkata Knight Riders,bat,1,league
177,ODI_WC,2016,New Zealand,Sri Lanka,Sri Lanka,MCG,Sri Lanka,field,1,knockout
178,IPL,2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Newlands,Mumbai Indians,bat,0,knockout
179,Test,2009,Afghanistan,England,Afghanistan,Dubai International,England,bat,0,league
180,IPL,2018,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Dubai International,Kolkata Knight Riders,field,1,league
181,IPL,2010,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,Mumbai Indians,field,0,league
182,IPL,2012,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,SuperSport Park,Sunrisers Hyderabad,field,1,league
183,Test,2010,England,Australia,England,Lords,England,bat,1,league
184,Test,2018,India,Pakistan,Pakistan,Wankhede Stadium,India,field,0,knockout
185,IPL,2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Lords,Rajasthan Royals,field,1,league
186,ODI_WC,2019,Sri Lanka,West Indies,West Indies,SCG,Sri Lanka,bat,0,league
187,ODI_WC,2017,South Africa,Afghanistan,Afghanistan,Lords,Afghanistan,bat,1,knockout
188,T20_WC,2015,Afghanistan,England,Afghanistan,SuperSport Park,Afghanistan,field,1,knockout
189,T20_WC,2015,Australia,New Zealand,New Zealand,Eden Gardens,Australia,field,0,league
190,IPL,2019,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Newlands,Rajasthan Royals,field,0,league
191,IPL,2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,SuperSport Park,Chennai Super Kings,bat,1,knockout
192,Test,2016,Bangladesh,New Zealand,New Zealand,Newlands,Bangladesh,field,0,league
193,Test,2011,West Indies,New Zealand,West Indies,Dubai International,West Indies,field,1,league
194,T20_WC,2012,India,Pakistan,India,Headingley,India,bat,1,league
195,IPL,2012,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,1,league
196,IPL,2015,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Eden Gardens,Chennai Super Kings,field,0,league
197,ODI_WC,2014,Sri Lanka,West Indies,West Indies,Eden Gardens,Sri Lanka,field,0,league
198,Test,2016,West Indies,Pakistan,West Indies,M. Chinnaswamy Stadium,Pakistan,bat,0,league
199,Test,2022,India,West Indies,India,Lords,West Indies,field,0,knockout
200,ODI_WC,2022,Afghanistan,Australia,Afghanistan,Headingley,Afghanistan,field,1,knockout
201,T20_WC,2023,West Indies,Afghanistan,Afghanistan,Lords,West Indies,field,0,league
202,IPL,2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,1,league
203,IPL,2015,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Eden Gardens,Mumbai Indians,bat,0,league
204,Test,2009,India,Pakistan,India,SuperSport Park,India,bat,1,league
205,T20_WC,2017,Afghanistan,England,Afghanistan,Lords,Afghanistan,bat,1,knockout
206,IPL,2019,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Headingley,Rajasthan Royals,bat,0,knockout
207,IPL,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,MA Chidambaram Stadium,Kolkata Knight Riders,bat,1,league
208,ODI_WC,2013,Pakistan,Afghanistan,Pakistan,Dubai International,Afghanistan,field,0,league
209,IPL,2019,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Lords,Kolkata Knight Riders,bat,0,league
210,IPL,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,field,1,league
211,T20_WC,2014,Pakistan,West Indies,Pakistan,Narendra Modi Stadium,Pakistan,bat,1,league
212,ODI_WC,2023,New Zealand,England,New Zealand,MCG,New Zealand,field,1,knockout
213,ODI_WC,2010,Sri Lanka,England,England,Eden Gardens,England,field,1,league
214,IPL,2020,Mumbai Indians,Punjab Kings,Punjab Kings,Dubai International,Punjab Kings,bat,1,league
215,ODI_WC,2010,England,South Africa,South Africa,Newlands,England,field,0,league
216,IPL,2018,Punjab Kings,Delhi Capitals,Punjab Kings,MCG,Delhi Capitals,bat,0,knockout
217,IPL,2009,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Gaddafi Stadium,Chennai Super Kings,bat,1,league
218,ODI_WC,2018,Sri Lanka,Australia,Sri Lanka,Eden Gardens,Sri Lanka,bat,1,league
219,T20_WC,2015,Australia,Afghanistan,Australia,SuperSport Park,Afghanistan,field,0,knockout
220,ODI_WC,2013,Australia,Bangladesh,Australia,Headingley,Australia,bat,1,league
221,ODI_WC,2008,South Africa,Afghanistan,Afghanistan,MA Chidambaram Stadium,South Africa,field,0,league
222,T20_WC,2019,India,Afghanistan,India,Feroz Shah Kotla,India,field,1,knockout
223,IPL,2008,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,SuperSport Park,Rajasthan Royals,bat,1,league
224,IPL,2014,Punjab Kings,Rajasthan Royals,Rajasthan Royals,SuperSport Park,Punjab Kings,bat,0,league
225,IPL,2023,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Dubai International,Kolkata Knight Riders,field,1,league
226,IPL,2015,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Lords,Mumbai Indians,field,0,league
227,Test,2012,New Zealand,Pakistan,Pakistan,Dubai International,Pakistan,field,1,league
228,IPL,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,SCG,Royal Challengers Bangalore,bat,1,knockout
229,Test,2019,South Africa,Australia,South Africa,Narendra Modi Stadium,Australia,field,0,knockout
230,T20_WC,2023,New Zealand,West Indies,New Zealand,Headingley,West Indies,field,0,knockout
231,ODI_WC,2018,Australia,England,Australia,MCG,Australia,bat,1,league
232,T20_WC,2012,Sri Lanka,England,England,Dubai International,Sri Lanka,field,0,league
233,T20_WC,2011,England,New Zealand,England,Narendra Modi Stadium,England,bat,1,knockout
234,T20_WC,2021,Afghanistan,New Zealand,Afghanistan,M. Chinnaswamy Stadium,New Zealand,bat,0,league
235,IPL,2013,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,1,league
236,ODI_WC,2021,Sri Lanka,West Indies,Sri Lanka,SCG,Sri Lanka,field,1,knockout
237,IPL,2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,1,league
238,IPL,2010,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Gaddafi Stadium,Royal Challengers Bangalore,field,0,league
239,T20_WC,2023,Afghanistan,South Africa,Afghanistan,Narendra Modi Stadium,South Africa,bat,0,league
240,IPL,2016,Punjab Kings,Delhi Capitals,Delhi Capitals,Gaddafi Stadium,Delhi Capitals,field,1,league
241,Test,2019,England,Bangladesh,England,SCG,Bangladesh,bat,0,league
242,Test,2018,New Zealand,West Indies,West Indies,Narendra Modi Stadium,West Indies,field,1,league
243,Test,2021,India,Afghanistan,India,MA Chidambaram Stadium,India,field,1,league
244,IPL,2014,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Headingley,Chennai Super Kings,field,1,league
245,IPL,2023,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,1,league
246,Test,2008,New Zealand,Sri Lanka,Sri Lanka,Newlands,New Zealand,field,0,knockout
247,IPL,2022,Mumbai Indians,Delhi Capitals,Mumbai Indians,M. Chinnaswamy Stadium,Delhi Capitals,bat,0,league
