match_id,bowler,format,year,overs,runs_conceded,wickets,economy_rate,maidens
588,Lasith Malinga,ODI_WC,2022,4,24,4,6.0,1
1215,Mitchell Starc,ODI_WC,2015,10,82,0,8.2,2
866,Glenn Maxwell,ODI_WC,2014,4,32,4,8.0,1
1119,Shane Warne,IPL,2021,20,202,4,10.1,1
383,Lasith Malinga,ODI_WC,2016,10,69,1,6.9,1
1027,Glenn Maxwell,Test,2022,4,44,2,11.0,2
90,James Anderson,T20_WC,2015,20,130,1,6.5,2
1337,Rashid Khan,IPL,2016,20,167,2,8.35,0
1590,Pat Cummins,T20_WC,2009,20,232,0,11.6,0
198,Kagiso Rabada,Test,2014,4,29,4,7.25,2
1082,Lasith Malinga,T20_WC,2016,10,100,3,10.0,0
1684,Jasprit Bumrah,ODI_WC,2020,4,29,2,7.25,0
1203,Glenn Maxwell,IPL,2021,20,172,3,8.6,1
1704,Yuzvendra Chahal,IPL,2020,20,208,1,10.4,0
913,Yuzvendra Chahal,IPL,2016,4,42,0,10.5,2
169,Lasith Malinga,IPL,2015,10,108,1,10.8,2
577,Ravindra Jadeja,IPL,2008,4,22,0,5.5,1
269,Jasprit Bumrah,ODI_WC,2010,10,109,0,10.9,0
466,James Anderson,IPL,2015,10,60,2,6.0,0
500,Mitchell Starc,IPL,2023,4,27,3,6.75,2
704,Lasith Malinga,Test,2010,10,117,4,11.7,0
853,Jasprit Bumrah,IPL,2011,10,60,2,6.0,1
1972,Jasprit Bumrah,ODI_WC,2017,20,135,3,6.75,1
524,Ravindra Jadeja,T20_WC,2009,20,147,0,7.35,0
1856,Pat Cummins,IPL,2010,20,212,2,10.6,1
684,Lasith Malinga,IPL,2012,20,144,5,7.2,0
780,Rashid Khan,IPL,2019,10,107,2,10.7,1
1306,Rashid Khan,Test,2018,10,64,1,6.4,0
1834,Shane Warne,IPL,2023,20,184,0,9.2,2
104,Mitchell Starc,ODI_WC,2013,4,46,1,11.5,1
668,Mitchell Starc,IPL,2013,20,105,0,5.25,1
1452,Jasprit Bumrah,IPL,2014,4,45,2,11.25,1
729,James Anderson,T20_WC,2019,4,24,2,6.0,0
469,Jasprit Bumrah,IPL,2017,20,181,2,9.05,2
816,Lasith Malinga,IPL,2015,4,21,1,5.25,0
1458,Lasith Malinga,IPL,2013,4,35,0,8.75,0
241,Rashid Khan,T20_WC,2017,20,186,1,9.3,0
1291,Muttiah Muralitharan,IPL,2013,10,106,2,10.6,1
969,James Anderson,Test,2009,4,31,3,7.75,0
1525,Rashid Khan,T20_WC,2020,20,228,0,11.4,1
99,Shane Warne,IPL,2010,10,75,0,7.5,0
1828,Rashid Khan,T20_WC,2023,10,56,5,5.6,1
497,Kagiso Rabada,T20_WC,2013,10,77,1,7.7,2
1181,Trent Boult,Test,2013,10,71,0,7.1,1
40,Lasith Malinga,IPL,2013,10,81,0,8.1,1
1937,Jasprit Bumrah,T20_WC,2022,4,25,3,6.25,2
805,Pat Cummins,ODI_WC,2011,10,75,2,7.5,0
1904,Shane Warne,IPL,2022,4,44,0,11.0,1
689,Rashid Khan,IPL,2018,20,191,0,9.55,1
72,Mitchell Starc,T20_WC,2009,20,127,0,6.35,1
1717,Jasprit Bumrah,Test,2015,20,107,1,5.35,2
364,Lasith Malinga,IPL,2009,10,65,2,6.5,1
1647,Jasprit Bumrah,T20_WC,2010,20,157,1,7.85,1
1861,Shaheen Afridi,T20_WC,2008,4,30,0,7.5,2
919,Jasprit Bumrah,IPL,2016,4,43,1,10.75,0
1078,Stuart Broad,Test,2010,10,91,0,9.1,2
1674,Stuart Broad,Test,2009,10,108,0,10.8,0
233,Muttiah Muralitharan,ODI_WC,2013,20,239,2,11.95,2
303,Jasprit Bumrah,T20_WC,2015,10,70,2,7.0,1
1103,Lasith Malinga,ODI_WC,2011,10,83,1,8.3,2
1744,Rashid Khan,IPL,2008,20,198,1,9.9,0
1947,Shaheen Afridi,ODI_WC,2021,10,85,0,8.5,0
507,Stuart Broad,IPL,2014,4,29,1,7.25,0
1056,Kagiso Rabada,Test,2021,10,107,2,10.7,1
1336,Kagiso Rabada,ODI_WC,2021,20,224,1,11.2,2
1256,Shaheen Afridi,T20_WC,2010,4,27,1,6.75,1
179,Kagiso Rabada,Test,2012,20,139,0,6.95,1
877,Ravindra Jadeja,Test,2018,20,179,1,8.95,0
1198,Yuzvendra Chahal,ODI_WC,2009,10,107,1,10.7,0
1059,Trent Boult,ODI_WC,2022,20,172,1,8.6,2
997,Shaheen Afridi,IPL,2023,4,21,0,5.25,0
1112,Glenn Maxwell,ODI_WC,2015,4,28,0,7.0,0
1951,Yuzvendra Chahal,IPL,2023,4,34,7,8.5,1
1651,Ravindra Jadeja,Test,2023,4,40,1,10.0,2
1827,Stuart Broad,T20_WC,2010,10,104,3,10.4,0
464,Ravindra Jadeja,IPL,2016,20,205,2,10.25,0
1640,Shane Warne,IPL,2008,10,56,1,5.6,1
702,Yuzvendra Chahal,T20_WC,2023,4,37,1,9.25,0
164,Yuzvendra Chahal,T20_WC,2013,10,79,2,7.9,0
1100,Lasith Malinga,IPL,2010,20,143,2,7.15,2
188,Shaheen Afridi,IPL,2021,20,215,2,10.75,1
80,James Anderson,ODI_WC,2011,10,75,7,7.5,1
305,Shane Warne,IPL,2018,20,125,1,6.25,0
325,Glenn Maxwell,IPL,2011,4,39,1,9.75,1
111,Glenn Maxwell,IPL,2022,10,59,2,5.9,1
1989,Trent Boult,IPL,2015,20,141,3,7.05,2
1556,Ravindra Jadeja,T20_WC,2016,4,32,0,8.0,1
688,Mitchell Starc,IPL,2022,10,59,3,5.9,2
1446,Muttiah Muralitharan,IPL,2012,20,140,3,7.0,2
1764,Glenn Maxwell,T20_WC,2019,20,189,1,9.45,0
896,Lasith Malinga,IPL,2018,4,35,0,8.75,1
1207,Ravindra Jadeja,Test,2017,20,218,1,10.9,0
608,Jasprit Bumrah,T20_WC,2017,10,59,0,5.9,1
872,James Anderson,IPL,2010,4,44,0,11.0,1
1291,Jasprit Bumrah,IPL,2016,10,55,3,5.5,1
843,Shaheen Afridi,IPL,2023,4,40,1,10.0,2
491,Ravindra Jadeja,T20_WC,2008,20,128,1,6.4,1
689,Glenn Maxwell,IPL,2008,4,45,0,11.25,1
988,Pat Cummins,IPL,2010,4,21,1,5.25,2
1036,Shaheen Afridi,ODI_WC,2009,10,90,1,9.0,0
1710,Kagiso Rabada,T20_WC,2015,20,101,1,5.05,0
1567,Glenn Maxwell,ODI_WC,2012,10,101,0,10.1,2
296,Lasith Malinga,ODI_WC,2017,10,52,4,5.2,1
606,Shane Warne,IPL,2008,20,201,2,10.05,0
1364,Lasith Malinga,IPL,2010,4,42,2,10.5,2
1307,Stuart Broad,T20_WC,2010,10,112,2,11.2,2
153,Yuzvendra Chahal,IPL,2020,4,30,0,7.5,1
1458,Glenn Maxwell,T20_WC,2009,20,175,0,8.75,0
354,Stuart Broad,IPL,2016,4,40,1,10.0,2
35,Lasith Malinga,ODI_WC,2023,20,214,1,10.7,1
939,Pat Cummins,Test,2020,20,209,2,10.45,2
1526,James Anderson,Test,2023,4,43,0,10.75,2
180,Pat Cummins,IPL,2008,20,225,3,11.25,2
901,Ravindra Jadeja,T20_WC,2023,10,95,1,9.5,0
1512,Ravindra Jadeja,Test,2017,10,62,3,6.2,0
39,Shaheen Afridi,T20_WC,2012,4,43,1,10.75,0
1727,Pat Cummins,IPL,2016,10,82,0,8.2,0
1864,Lasith Malinga,IPL,2019,20,107,2,5.35,1
659,Pat Cummins,IPL,2010,10,93,1,9.3,2
1643,Stuart Broad,IPL,2017,10,100,1,10.0,2
1682,Trent Boult,IPL,2010,4,32,3,8.0,2
118,Ravindra Jadeja,IPL,2014,20,170,0,8.5,2
720,Rashid Khan,T20_WC,2008,10,88,0,8.8,0
979,Trent Boult,IPL,2020,20,135,0,6.75,0
1103,Trent Boult,IPL,2016,4,30,0,7.5,2
1501,Shane Warne,IPL,2014,10,106,1,10.6,0
847,Muttiah Muralitharan,T20_WC,2021,20,104,0,5.2,0
892,Rashid Khan,IPL,2019,10,88,0,8.8,0
1309,Ravindra Jadeja,Test,2019,4,20,3,5.0,0
1297,Rashid Khan,Test,2015,4,25,0,6.25,2
1551,Yuzvendra Chahal,IPL,2009,20,152,1,7.6,1
168,James Anderson,IPL,2022,10,63,0,6.3,2
75,Yuzvendra Chahal,T20_WC,2010,10,109,2,10.9,1
1283,Shaheen Afridi,IPL,2021,20,221,1,11.05,2
1485,James Anderson,IPL,2016,4,24,3,6.0,1
1702,Stuart Broad,IPL,2021,4,44,0,11.0,0
905,Lasith Malinga,IPL,2022,10,66,0,6.6,0
1399,Jasprit Bumrah,Test,2023,20,101,0,5.05,2
1661,Pat Cummins,IPL,2011,10,101,3,10.1,1
758,Rashid Khan,IPL,2023,4,34,1,8.5,1
688,Glenn Maxwell,ODI_WC,2012,4,33,0,8.25,2
986,Pat Cummins,IPL,2016,4,20,3,5.0,0
57,Shane Warne,IPL,2017,10,118,1,11.8,0
1228,Shaheen Afridi,ODI_WC,2015,20,216,1,10.8,1
689,Mitchell Starc,IPL,2012,10,117,2,11.7,1
1759,Trent Boult,T20_WC,2018,20,134,1,6.7,1
1410,Jasprit Bumrah,IPL,2009,10,92,0,9.2,0
1441,Trent Boult,IPL,2010,20,204,6,10.2,2
784,Lasith Malinga,ODI_WC,2010,20,212,0,10.6,1
773,Shane Warne,T20_WC,2019,4,41,0,10.25,1
1461,Ravindra Jadeja,T20_WC,2014,4,36,0,9.0,2
1745,James Anderson,IPL,2023,10,52,0,5.2,0
1019,Stuart Broad,T20_WC,2013,20,239,1,11.95,1
1087,Lasith Malinga,ODI_WC,2014,4,23,4,5.75,0
1777,Rashid Khan,ODI_WC,2015,10,62,2,6.2,1
1080,Kagiso Rabada,IPL,2018,4,43,2,10.75,2
744,Pat Cummins,IPL,2012,20,114,1,5.7,2
416,Ravindra Jadeja,ODI_WC,2020,4,25,3,6.25,1
911,Muttiah Muralitharan,T20_WC,2022,10,51,1,5.1,2
701,Glenn Maxwell,IPL,2020,10,60,1,6.0,2
268,Mitchell Starc,IPL,2013,10,96,7,9.6,1
913,Ravindra Jadeja,IPL,2008,10,75,2,7.5,1
1674,Yuzvendra Chahal,ODI_WC,2021,4,23,3,5.75,0
858,Mitchell Starc,T20_WC,2011,10,68,1,6.8,0
172,Mitchell Starc,Test,2013,10,102,0,10.2,0
1756,Mitchell Starc,IPL,2011,4,35,6,8.75,0
1948,Glenn Maxwell,IPL,2020,4,33,2,8.25,2
727,Jasprit Bumrah,T20_WC,2023,20,106,0,5.3,0
276,Yuzvendra Chahal,ODI_WC,2008,10,85,2,8.5,1
337,Ravindra Jadeja,IPL,2023,4,33,1,8.25,1
436,Yuzvendra Chahal,Test,2021,10,81,3,8.1,0
1516,Glenn Maxwell,IPL,2010,4,33,0,8.25,1
392,Kagiso Rabada,IPL,2010,4,22,4,5.5,0
1275,Shane Warne,Test,2010,10,115,0,11.5,1
1024,Glenn Maxwell,T20_WC,2011,20,142,7,7.1,1
1138,Muttiah Muralitharan,T20_WC,2018,10,95,2,9.5,2
463,James Anderson,T20_WC,2016,20,150,5,7.5,2
215,Lasith Malinga,IPL,2016,20,145,2,7.25,0
1653,Mitchell Starc,Test,2021,10,100,2,10.0,2
462,Trent Boult,IPL,2015,20,158,0,7.9,2
360,Glenn Maxwell,Test,2021,10,93,0,9.3,2
878,Mitchell Starc,T20_WC,2010,4,27,0,6.75,0
283,Pat Cummins,IPL,2019,20,137,1,6.85,0
1515,Mitchell Starc,IPL,2009,10,63,1,6.3,1
205,Ravindra Jadeja,ODI_WC,2020,20,142,0,7.1,2
295,Glenn Maxwell,ODI_WC,2010,10,54,0,5.4,1
363,Stuart Broad,Test,2022,10,55,2,5.5,1
1625,Shaheen Afridi,IPL,2018,20,219,0,10.95,1
1242,Lasith Malinga,IPL,2021,4,27,5,6.75,0
831,Rashid Khan,Test,2022,4,35,0,8.75,0
492,Trent Boult,IPL,2012,20,169,1,8.45,2
75,Trent Boult,T20_WC,2014,10,94,1,9.4,1
1830,James Anderson,IPL,2009,4,38,0,9.5,1
1097,Mitchell Starc,Test,2013,10,75,1,7.5,0
363,Lasith Malinga,IPL,2018,20,118,0,5.9,2
1761,Jasprit Bumrah,T20_WC,2018,10,62,0,6.2,1
691,Rashid Khan,IPL,2009,4,30,2,7.5,2
80,Ravindra Jadeja,T20_WC,2020,4,35,3,8.75,2
1265,Ravindra Jadeja,Test,2008,20,185,1,9.25,1
212,Rashid Khan,ODI_WC,2022,20,230,0,11.5,0
391,Pat Cummins,IPL,2018,20,142,1,7.1,0
1185,Pat Cummins,T20_WC,2010,10,57,2,5.7,0
1101,Mitchell Starc,T20_WC,2021,4,35,0,8.75,2
1455,Lasith Malinga,IPL,2023,20,109,0,5.45,0
1059,Mitchell Starc,ODI_WC,2011,4,24,4,6.0,0
1604,Mitchell Starc,ODI_WC,2009,4,35,2,8.75,1
1087,Yuzvendra Chahal,T20_WC,2010,4,45,2,11.25,2
1887,Glenn Maxwell,ODI_WC,2019,4,25,0,6.25,2
1118,Stuart Broad,IPL,2013,20,150,0,7.5,2
1667,James Anderson,Test,2021,20,161,1,8.05,2
809,Stuart Broad,ODI_WC,2016,10,116,0,11.6,2
603,Shaheen Afridi,T20_WC,2009,20,202,3,10.1,0
1952,Shane Warne,IPL,2014,4,29,2,7.25,1
1967,Lasith Malinga,ODI_WC,2008,10,68,0,6.8,2
678,Yuzvendra Chahal,IPL,2011,10,86,2,8.6,0
1914,Muttiah Muralitharan,IPL,2021,20,153,1,7.65,0
1286,Ravindra Jadeja,T20_WC,2020,20,186,0,9.3,1
377,Muttiah Muralitharan,T20_WC,2021,4,34,3,8.5,0
1982,Muttiah Muralitharan,IPL,2009,20,104,0,5.2,2
1544,Trent Boult,IPL,2020,10,55,2,5.5,0
1334,Mitchell Starc,IPL,2011,4,23,1,5.75,2
600,Shaheen Afridi,ODI_WC,2009,4,38,2,9.5,1
975,Ravindra Jadeja,T20_WC,2010,10,118,1,11.8,1
1945,Trent Boult,T20_WC,2015,10,81,0,8.1,1
667,Lasith Malinga,T20_WC,2011,10,60,5,6.0,0
1004,Shaheen Afridi,IPL,2013,10,92,2,9.2,0
781,James Anderson,IPL,2019,20,187,3,9.35,0
1748,Rashid Khan,ODI_WC,2016,10,102,1,10.2,0
645,Lasith Malinga,T20_WC,2020,20,199,1,9.95,1
998,Yuzvendra Chahal,IPL,2015,10,98,0,9.8,1
327,Jasprit Bumrah,IPL,2021,10,100,1,10.0,1
1594,Ravindra Jadeja,IPL,2022,10,107,7,10.7,2
1989,Yuzvendra Chahal,IPL,2021,20,225,2,11.25,2
1180,Yuzvendra Chahal,ODI_WC,2009,10,50,2,5.0,2
549,Yuzvendra Chahal,ODI_WC,2021,20,193,2,9.65,0
733,Glenn Maxwell,T20_WC,2023,4,46,0,11.5,2
1258,Yuzvendra Chahal,IPL,2023,4,41,0,10.25,1
1445,Glenn Maxwell,IPL,2009,10,55,0,5.5,0
635,Shane Warne,IPL,2010,10,101,2,10.1,0
135,Jasprit Bumrah,IPL,2009,10,67,1,6.7,2
1454,Muttiah Muralitharan,ODI_WC,2010,10,62,4,6.2,0
602,James Anderson,ODI_WC,2009,4,25,1,6.25,0
751,Yuzvendra Chahal,IPL,2022,20,236,0,11.8,2
186,Yuzvendra Chahal,Test,2013,10,96,5,9.6,1
1619,Shane Warne,Test,2016,4,47,1,11.75,1
1535,Lasith Malinga,Test,2015,20,218,3,10.9,1
74,Muttiah Muralitharan,IPL,2013,10,114,0,11.4,2
696,Jasprit Bumrah,ODI_WC,2011,4,35,1,8.75,0
874,Rashid Khan,Test,2017,10,74,2,7.4,2
1492,Stuart Broad,ODI_WC,2019,10,101,1,10.1,0
1646,Ravindra Jadeja,IPL,2012,4,20,2,5.0,1
1887,Shaheen Afridi,IPL,2011,10,95,3,9.5,1
1252,Trent Boult,Test,2012,10,116,2,11.6,2
1134,Muttiah Muralitharan,Test,2023,4,43,1,10.75,1
1286,Muttiah Muralitharan,ODI_WC,2009,10,63,5,6.3,2
975,Jasprit Bumrah,IPL,2022,20,117,4,5.85,1
1112,Lasith Malinga,Test,2015,10,107,2,10.7,1
1822,Trent Boult,Test,2008,4,21,1,5.25,1
1033,Glenn Maxwell,T20_WC,2016,10,119,1,11.9,2
65,Mitchell Starc,IPL,2019,10,82,2,8.2,1
818,Mitchell Starc,IPL,2008,10,114,1,11.4,2
751,Kagiso Rabada,IPL,2012,20,213,6,10.65,2
399,Shaheen Afridi,T20_WC,2016,10,98,2,9.8,0
826,Muttiah Muralitharan,IPL,2008,4,25,0,6.25,1
1670,Shane Warne,Test,2023,4,22,2,5.5,0
719,Kagiso Rabada,IPL,2021,4,38,1,9.5,0
1019,Glenn Maxwell,IPL,2021,4,25,0,6.25,2
1351,Stuart Broad,ODI_WC,2008,10,108,1,10.8,1
302,Yuzvendra Chahal,IPL,2010,20,109,3,5.45,0
347,James Anderson,T20_WC,2023,4,34,0,8.5,1
906,Shane Warne,IPL,2015,10,79,3,7.9,1
1632,Muttiah Muralitharan,T20_WC,2010,20,229,2,11.45,2
1708,Mitchell Starc,IPL,2019,20,225,2,11.25,2
549,Ravindra Jadeja,T20_WC,2022,4,40,3,10.0,0
310,Shaheen Afridi,IPL,2021,10,102,4,10.2,0
1126,Ravindra Jadeja,IPL,2009,10,99,0,9.9,2
740,Shane Warne,T20_WC,2013,10,97,4,9.7,0
1998,Ravindra Jadeja,IPL,2017,10,119,0,11.9,0
234,James Anderson,Test,2012,4,40,0,10.0,1
1319,James Anderson,ODI_WC,2020,20,232,1,11.6,0
1340,Shaheen Afridi,Test,2019,20,161,4,8.05,0
553,Stuart Broad,IPL,2022,4,47,0,11.75,0
1584,Yuzvendra Chahal,IPL,2018,20,186,1,9.3,2
1870,Trent Boult,IPL,2016,20,226,2,11.3,1
258,Yuzvendra Chahal,T20_WC,2018,4,22,2,5.5,0
664,Shaheen Afridi,IPL,2021,4,37,1,9.25,2
1034,Yuzvendra Chahal,T20_WC,2010,20,238,1,11.9,1
426,Stuart Broad,T20_WC,2021,4,21,1,5.25,2
1414,Stuart Broad,IPL,2011,10,116,2,11.6,2
131,Yuzvendra Chahal,ODI_WC,2018,10,60,1,6.0,1
190,Ravindra Jadeja,Test,2017,20,239,0,11.95,1
418,Glenn Maxwell,T20_WC,2023,4,28,0,7.0,2
254,Mitchell Starc,Test,2023,10,105,2,10.5,2
1866,Lasith Malinga,IPL,2015,4,20,4,5.0,0
678,Kagiso Rabada,IPL,2018,20,140,0,7.0,2
950,Muttiah Muralitharan,IPL,2009,20,184,0,9.2,1
597,James Anderson,T20_WC,2012,4,26,2,6.5,1
25,Kagiso Rabada,T20_WC,2020,4,41,0,10.25,1
1218,Mitchell Starc,IPL,2021,4,38,3,9.5,1
1060,Yuzvendra Chahal,IPL,2019,10,119,1,11.9,2
1857,Rashid Khan,IPL,2016,20,181,4,9.05,2
1196,Kagiso Rabada,Test,2018,20,207,2,10.35,1
1514,Lasith Malinga,IPL,2023,10,55,3,5.5,1
1788,Ravindra Jadeja,IPL,2016,10,53,0,5.3,1
1700,Rashid Khan,T20_WC,2017,10,90,1,9.0,0
428,Ravindra Jadeja,IPL,2016,20,237,0,11.85,2
856,Kagiso Rabada,T20_WC,2018,4,27,2,6.75,1
458,Mitchell Starc,ODI_WC,2021,4,20,0,5.0,2
243,Muttiah Muralitharan,Test,2008,20,147,2,7.35,0
547,Rashid Khan,Test,2008,20,203,3,10.15,2
1980,James Anderson,ODI_WC,2008,4,42,0,10.5,0
1366,Muttiah Muralitharan,IPL,2015,10,104,0,10.4,2
366,James Anderson,Test,2011,10,55,0,5.5,0
1967,Glenn Maxwell,ODI_WC,2022,20,207,7,10.35,2
1504,Shane Warne,IPL,2016,20,111,6,5.55,0
144,Lasith Malinga,T20_WC,2018,20,238,0,11.9,1
1919,James Anderson,IPL,2013,20,151,0,7.55,1
1502,Shaheen Afridi,IPL,2010,4,39,0,9.75,2
164,Pat Cummins,T20_WC,2015,4,33,1,8.25,0
443,Pat Cummins,ODI_WC,2008,20,133,2,6.65,1
1725,Stuart Broad,IPL,2019,4,37,2,9.25,2
735,Pat Cummins,T20_WC,2009,10,51,0,5.1,0
990,Trent Boult,T20_WC,2015,10,85,0,8.5,0
581,Trent Boult,Test,2008,20,105,0,5.25,0
984,Lasith Malinga,ODI_WC,2019,10,89,2,8.9,0
1710,Trent Boult,IPL,2020,20,164,0,8.2,2
996,Ravindra Jadeja,T20_WC,2018,4,45,0,11.25,0
859,Stuart Broad,Test,2012,20,235,1,11.75,0
142,Muttiah Muralitharan,IPL,2010,10,95,0,9.5,1
1125,Ravindra Jadeja,T20_WC,2009,20,125,1,6.25,0
1997,Glenn Maxwell,IPL,2021,4,34,0,8.5,0
1812,Shaheen Afridi,IPL,2011,4,20,6,5.0,0
1564,Ravindra Jadeja,IPL,2009,20,207,1,10.35,0
371,Shaheen Afridi,Test,2012,10,52,1,5.2,2
1408,James Anderson,Test,2015,20,213,2,10.65,2
262,Stuart Broad,T20_WC,2011,20,137,3,6.85,2
1225,Rashid Khan,T20_WC,2014,10,67,4,6.7,1
790,Mitchell Starc,Test,2012,20,112,1,5.6,0
1367,James Anderson,IPL,2016,4,39,1,9.75,2
253,Rashid Khan,T20_WC,2022,4,30,0,7.5,2
1160,Jasprit Bumrah,ODI_WC,2020,10,56,0,5.6,1
1665,Muttiah Muralitharan,T20_WC,2009,4,28,2,7.0,1
1607,Muttiah Muralitharan,IPL,2022,4,45,1,11.25,0
888,Trent Boult,ODI_WC,2009,10,52,3,5.2,0
1725,Yuzvendra Chahal,IPL,2008,20,193,1,9.65,0
1917,Shaheen Afridi,ODI_WC,2011,20,170,0,8.5,2
317,Muttiah Muralitharan,Test,2020,10,91,2,9.1,1
1356,Muttiah Muralitharan,T20_WC,2021,10,77,1,7.7,2
679,Jasprit Bumrah,IPL,2015,20,167,3,8.35,0
593,Glenn Maxwell,Test,2012,4,41,1,10.25,2
1586,Yuzvendra Chahal,ODI_WC,2012,20,167,0,8.35,1
1360,Shane Warne,IPL,2011,4,30,1,7.5,2
1220,Trent Boult,T20_WC,2022,4,27,3,6.75,0
229,Trent Boult,IPL,2014,10,81,3,8.1,0
1289,Mitchell Starc,IPL,2017,4,36,3,9.0,0
521,Muttiah Muralitharan,T20_WC,2015,10,76,3,7.6,0
987,Kagiso Rabada,ODI_WC,2016,4,45,1,11.25,1
1612,James Anderson,IPL,2013,20,239,2,11.95,1
930,Muttiah Muralitharan,IPL,2019,4,25,3,6.25,0
151,Mitchell Starc,Test,2016,20,190,3,9.5,1
483,James Anderson,T20_WC,2018,10,64,1,6.4,0
232,Ravindra Jadeja,T20_WC,2022,10,87,1,8.7,2
265,Glenn Maxwell,ODI_WC,2008,4,31,0,7.75,2
461,Lasith Malinga,IPL,2022,20,134,2,6.7,2
1396,Kagiso Rabada,ODI_WC,2010,4,29,2,7.25,1
1714,Muttiah Muralitharan,T20_WC,2008,10,58,2,5.8,0
1006,Mitchell Starc,ODI_WC,2018,20,111,2,5.55,2
826,Rashid Khan,ODI_WC,2012,10,81,3,8.1,1
121,Glenn Maxwell,ODI_WC,2015,10,107,3,10.7,1
1067,Yuzvendra Chahal,Test,2013,4,39,0,9.75,1
130,Glenn Maxwell,T20_WC,2019,4,36,2,9.0,1
239,Mitchell Starc,IPL,2020,4,31,0,7.75,0
1474,Ravindra Jadeja,IPL,2017,4,33,0,8.25,1
1821,James Anderson,IPL,2019,10,51,1,5.1,1
941,Trent Boult,Test,2012,10,115,1,11.5,0
441,Rashid Khan,IPL,2008,20,143,0,7.15,0
662,Rashid Khan,Test,2019,4,45,1,11.25,2
1963,Stuart Broad,T20_WC,2008,20,200,0,10.0,0
315,Mitchell Starc,ODI_WC,2012,4,35,1,8.75,1
623,Lasith Malinga,T20_WC,2019,20,162,3,8.1,2
646,Shane Warne,ODI_WC,2012,20,145,0,7.25,0
239,Jasprit Bumrah,Test,2015,4,37,1,9.25,0
1721,Shaheen Afridi,T20_WC,2009,4,47,0,11.75,2
924,Shane Warne,IPL,2014,10,106,1,10.6,0
720,Trent Boult,T20_WC,2012,10,77,3,7.7,2
1921,Rashid Khan,Test,2021,4,33,0,8.25,1
407,Shaheen Afridi,IPL,2009,4,33,2,8.25,0
1672,Muttiah Muralitharan,Test,2012,4,27,0,6.75,1
189,Shaheen Afridi,T20_WC,2019,4,43,1,10.75,2
584,Jasprit Bumrah,ODI_WC,2016,20,196,2,9.8,0
1514,Ravindra Jadeja,IPL,2019,20,183,2,9.15,0
1281,Trent Boult,IPL,2020,20,160,2,8.0,1
779,Trent Boult,Test,2021,20,133,1,6.65,2
8,Ravindra Jadeja,IPL,2012,10,94,2,9.4,0
495,Shaheen Afridi,IPL,2012,4,26,1,6.5,1
